Country Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Luxembourg;69,36000061;70,02999878;70,37999725;69,87000275;70,87000275;74,41999817;74,33999634;75,47000122;76,05999756;76,76000214;77,05000305;77,94000244;77,98999786;79,19000244;80,97000122;81,48000336;81,23000336;83,05999756;85,73999786;85,55000305;85,41000366;86;86,37000275;87,58999634;86,43000031;86,93000031;87,84999847;87,19000244;88,51000214
Latvia;50,52000046;51,81000137;53,15000153;53,56999969;54,90000153;55,47000122;52,59000015;53,91999817;56,75;58,31999969;58,25999832;58,24000168;58,68000031;59,75999832;61,47000122;61,16999817;61,18999863;62,63999939;66,91000366;68,30999756;68,19999695;68,15000153;68,01999664;68,65000153;68,41999817;68,19000244;69,83000183;69,37000275;68,98999786
Malta;62,27000046;62,50999832;62,72000122;62,95999908;63,18999863;63,59000015;63,93999863;64,27999878;64,73000336;65,20999908;66,73000336;66,12999725;67,66000366;68,30000305;68,05999756;69,62999725;71,87000275;72,65000153;73,51999664;73,15000153;74,30999756;76,79000092;77,16000366;77,98999786;78,51999664;78,97000122;79,19999695;80,41000366;80,06999969
Netherlands;70,68000031;71,16999817;71,79000092;72,66999817;72,81999969;73,05999756;73,41000366;73,76000214;74,45999908;75,13999939;75,30999756;76,08999634;77,05000305;76,61000061;75,26000214;75,73000336;76,88999939;77,70999908;78,34999847;79,23999786;80,05000305;80,05999756;81,38999939;81,48000336;81,25;81,25;81,20999908;81,73000336;81,80999756
Poland;38,24000168;40,04999924;41,45999908;42,83000183;43,99000168;45,25;46,45000076;47,61000061;48,99000168;50,27000046;50,06999969;51,83000183;53,25999832;53,36000061;53,36999893;54,22999954;54,52999878;54,13999939;55,61000061;56,63999939;56,41999817;57,00999832;57,45999908;57,97000122;57,93000031;57,97000122;58,11000061;58,56999969;58,70999908
Portugal;54,27000046;54,81999969;55,58000183;55,75999832;56,34000015;56,52999878;55,70000076;50,86000061;52,86000061;52,88000107;53,38000107;54,04000092;54,36999893;56,63999939;57,56000137;57,77999878;57,91999817;59,56999969;60,75;61,54999924;62,93999863;64,04000092;66,06999969;67,48999786;68,12000275;68,58999634;68,86000061;69,11000061;69,83000183
Romania;30,30999947;29,92000008;28,19000053;28,11000061;28,71999931;30,52000046;28,82999992;29,25;28,93000031;29;29,72999954;32,70999908;33,18000031;36,36999893;37,25999832;38,68999863;39,06999969;39,68999863;40,88999939;40,66999817;42,18000031;42,08000183;42,45999908;42,72000122;45,95999908;47,02000046;47,09999847;47,65999985;48,68999863
Slovak Republic;47,38000107;49,34999847;49,93000031;50,13000107;51,90000153;51,56999969;51,54999924;52,41999817;54,31999969;55,81000137;56,68000031;55,25999832;55,86999893;55,70000076;56,43000031;56,79000092;56,40999985;55,91999817;58,49000168;59,65000153;59,43000031;59,22999954;60,86999893;61,06000137;60,70999908;60,63999939;60,13000107;61,18999863;61,11999893
Slovenia;43,36999893;44,34999847;45,13999939;46,04000092;46,43000031;47,79999924;47,36000061;48,41999817;51,34999847;52,75;51,43000031;51,59000015;54,43999863;53,86999893;53,83000183;54,93000031;54,86999893;56,29000092;57,72000122;58,59999847;59,74000168;60,63999939;60,47000122;59,43999863;60,91999817;61,79999924;61,18999863;61,16999817;61,61000061
Sweden;69,55000305;70,08000183;70,65000153;70,87000275;71,02999878;70,87999725;71,20999908;71,05999756;72,01999664;72,73000336;73,61000061;74,51999664;74,86000061;75,15000153;75,63999939;75,86000061;76,09999847;76,55000305;77,66000366;78;78,08999634;78,30000305;78,80999756;79,41999817;79,68000031;79,91999817;80,01000214;80,08999634;79,88999939
