Country Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Malta;35,24000168;35,04999924;34,86999893;34,68000031;34,50999832;34,15000153;33,84000015;33,54999924;33,15999985;32,75;30,93000031;31,53000069;29,87999916;29,45000076;29,85000038;28,34000015;26,31999969;25,55999947;25,02000046;25,52000046;24,52000046;22,17000008;21,56999969;20,71999931;20,01000023;19,86000061;19,80999947;18,60000038;18,92000008;
Poland;36,18999863;34,81999969;34,04000092;33,45999908;33,13000107;32,77000046;32,47999954;32,13000107;31,55999947;31,05999947;30,72999954;28,54000092;28,54999924;29,04000092;29,25;29,97999954;30,71999931;31,88999939;31,11000061;30,29999924;30,67000008;30,42000008;30,54000092;30,54000092;30,54000092;31,45000076;31,67000008;31,81999969;32,13000107;
Portugal;34;33,63000107;32,86000061;32,47000122;32,18000031;31,27000046;31,02000046;35,20999908;34,34999847;34,43999863;33,45000076;33,33000183;32,65999985;31,05999947;30,38999939;30,30999947;30,23999977;28,98999977;27,80999947;27,26000023;26,86000061;25,14999962;23,70000076;23,86000061;24,35000038;24,5;24,73999977;24,85000038;24,68000031;
Romania;39,90000153;37,11000061;35,81999969;32,84999847;30,95999908;31,52000046;30,29999924;28,77000046;27,05999947;25,79000092;25,85000038;29,59000015;29,13999939;31,05999947;30,45999908;30,70999908;31,40999985;31,60000038;30,02000046;28,31999969;28,55999947;28,20999908;28,29000092;28,93000031;28,45999908;29,87999916;30,12000084;30,03000069;30,06999969;
Slovak Republic;41,95999908;40,20999908;39,65000153;39,70000076;38,90999985;39,54000092;39,27999878;39,43999863;38,43000031;37,25;37,06000137;38,15000153;38,13000107;39,20999908;38,81999969;38,81999969;39,38000107;40,13000107;37,93000031;37,11999893;37,49000168;37,54000092;35,81999969;35,45000076;36,11000061;36,47000122;37,15999985;36,52000046;36,09000015;
Slovenia;45,79999924;44,90000153;44,18999863;42,38999939;43,13000107;41,95999908;40,5;39,52000046;37,79999924;37,65000153;38,63000107;38,75;37,13000107;36,34999847;37,06000137;35,49000168;35,24000168;35,11999893;33,15999985;32,58000183;31,65999985;30,96999931;31,03000069;30,93000031;32,00999832;33,16999817;33,25;33,34999847;34,09999847;
Spain;32,34000015;31,78000069;31,04000092;30,26000023;30,20999908;29,46999931;29,90999985;30,51000023;30,68000031;30,82999992;31,45999908;31,04000092;30,70999908;30,20999908;29,56999969;29,39999962;29,11000061;27,82999992;24,59000015;22,97999954;21,76000023;20,67000008;19,75;19,45000076;19,89999962;19,61000061;20,05999947;20,32999992;20,43000031;
Sweden;26,61000061;26,14999962;25,63999939;25,52000046;25,47999954;25,87000084;25,54999924;25,88999939;24,98999977;24,36000061;23,73999977;22,95999908;22,60000038;22,37000084;22,04000092;21,90999985;21,64999962;21,32999992;20,15999985;19,89999962;19,93000031;19,64999962;19,15999985;18,60000038;18,29000092;18,20000076;18,15999985;18,18000031;18,42000008;
Estonia;37,04999924;36;33,25;32,5;34,22999954;33,65000153;33,43999863;32,95000076;31,63999939;34,99000168;33,75;29,79999924;30,70000076;33,95000076;34,06999969;33,54000092;35,13000107;35,27000046;31,44000053;30,31999969;32,43000031;31,10000038;30,27000046;30,14999962;30,65999985;29,71999931;29,95999908;29,64999962;28,70000076;
Netherlands;25,06999969;24,67000008;24,13999939;23,35000038;23,35000038;23,15999985;22,87999916;22,76000023;22,32999992;21,57999992;21,56999969;20,97999954;19,90999985;20,07999992;21,04000092;20,62999916;19,78000069;19,12999916;18,52000046;17,70000076;17,17000008;17,20999908;16,52000046;16,22999954;16,43000031;16,47999954;16,52000046;16,17000008;16,11000061;
