Country Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Luxembourg;3,529999971;3,380000114;3,200000048;3,160000086;3,869999886;2,650000095;2,339999914;2,920000076;1,950000048;2,440000057;1,529999971;1,970000029;2,720000029;1,960000038;1,74000001;1,830000043;1,850000024;1,669999957;1,360000014;1,100000024;1,230000019;1,330000043;1,590000033;1,429999948;1,049999952;1,029999971;1,389999986;1,049999952;0,680000007;
Latvia;18,75;19,03000069;18,64999962;18,28000069;17,45999908;17,28000069;21,59000015;19,03000069;17,48999977;14,93000031;15,47000027;16,22999954;14,23999977;13,30000019;12,05000019;11,46000004;10,18000031;7,960000038;8,75;8,609999657;8,899999619;8,369999886;8,06000042;7,5;7,940000057;7,690000057;6,869999886;6,96999979;7,289999962;
Malta;2,49000001;2,450000048;2,410000086;2,359999895;2,299999952;2,25;2,220000029;2,170000076;2,109999895;2,039999962;2,349999905;2,339999914;2,460000038;2,25999999;2,099999905;2,029999971;1,820000052;1,789999962;1,460000038;1,340000033;1,169999957;1,039999962;1,25999999;1,289999962;1,470000029;1,169999957;1;1;1,019999981;
Netherlands;4,25;4,170000076;4,079999924;3,99000001;3,829999924;3,779999971;3,710000038;3,49000001;3,210000038;3,279999971;3,119999886;2,940000057;3,039999962;3,309999943;3,700000048;3,650000095;3,339999914;3,170000076;3,130000114;3,059999943;2,779999971;2,730000019;2,099999905;2,289999962;2,319999933;2,25999999;2,269999981;2,099999905;2,079999924;
Poland;25,56999969;25,12999916;24,5;23,70999908;22,87999916;21,97999954;21,06999969;20,26000023;19,45000076;18,67000008;19,20000076;19,62999916;18,20000076;17,61000061;17,37999916;15,78999996;14,75;13,97000027;13,28999996;13,05000019;12,90999985;12,57999992;12;11,48999977;11,52999973;10,57999992;10,22000027;9,619999886;9,149999619;
Portugal;11,72999954;11,53999996;11,56000042;11,76000023;11,47999954;12,19999981;13,28999996;13,93000031;12,78999996;12,68000031;13,17000008;12,63000011;12,97000027;12,30000019;12,05000019;11,90999985;11,84000015;11,43999958;11,44999981;11,19999981;10,21000004;10,81000042;10,22999954;8,649999619;7,53000021;6,909999847;6,400000095;6,039999962;5,5;
Romania;29,78000069;32,97999954;35,99000168;39,04000092;40,33000183;37,95999908;40,86999893;41,97999954;44,00999832;45,20999908;44,43000031;37,70999908;37,68000031;32,56999969;32,29000092;30,60000038;29,53000069;28,70000076;29,09000015;31,01000023;29,26000023;29,70999908;29,25;28,35000038;25,59000015;23,10000038;22,78000069;22,30999947;21,23999977;
Slovak Republic;10,65999985;10,43999958;10,42000008;10,17000008;9,199999809;8,899999619;9,170000076;8,140000343;7,25;6,940000057;6,260000229;6,590000153;6;5,090000153;4,75;4,389999866;4,210000038;3,960000038;3,589999914;3,230000019;3,079999924;3,24000001;3,309999943;3,5;3,180000067;2,890000105;2,710000038;2,289999962;2,789999962;
Slovenia;10,84000015;10,75;10,65999985;11,56999969;10,43999958;10,22999954;12,14000034;12,06999969;10,84000015;9,600000381;9,93999958;9,659999847;8,43999958;9,779999733;9,109999657;9,590000153;9,890000343;8,590000153;9,119999886;8,819999695;8,600000381;8,390000343;8,5;9,630000114;7,079999924;5,019999981;5,559999943;5,480000019;4,28000021;
Sweden;3,839999914;3,769999981;3,710000038;3,609999895;3,49000001;3,25;3,25;3,049999952;2,99000001;2,910000086;2,650000095;2,519999981;2,549999952;2,49000001;2,319999933;2,230000019;2,25;2,119999886;2,180000067;2,099999905;1,99000001;2,059999943;2,029999971;1,980000019;2,039999962;1,889999986;1,830000043;1,730000019;1,690000057;
